model,fpr,tpr
Logistic Regression,0.0,0.0
Logistic Regression,0.0,0.002857142857142857
Logistic Regression,0.0,0.16285714285714287
Logistic Regression,0.0003332222592469177,0.16285714285714287
Logistic Regression,0.0003332222592469177,0.18285714285714286
Logistic Regression,0.000999666777740753,0.18285714285714286
Logistic Regression,0.000999666777740753,0.18571428571428572
Logistic Regression,0.0013328890369876708,0.18571428571428572
Logistic Regression,0.0013328890369876708,0.18857142857142858
Logistic Regression,0.0023325558147284237,0.18857142857142858
Logistic Regression,0.0023325558147284237,0.19428571428571428
Logistic Regression,0.0026657780739753416,0.19428571428571428
Logistic Regression,0.0026657780739753416,0.19714285714285715
Logistic Regression,0.0036654448517160947,0.19714285714285715
Logistic Regression,0.0036654448517160947,0.2057142857142857
Logistic Regression,0.003998667110963012,0.2057142857142857
Logistic Regression,0.003998667110963012,0.21142857142857144
Logistic Regression,0.00433188937020993,0.21142857142857144
Logistic Regression,0.00433188937020993,0.21428571428571427
Logistic Regression,0.004665111629456847,0.21428571428571427
Logistic Regression,0.004665111629456847,0.22285714285714286
Logistic Regression,0.004998333888703766,0.22285714285714286
Logistic Regression,0.004998333888703766,0.22857142857142856
Logistic Regression,0.005664778407197601,0.22857142857142856
Logistic Regression,0.005664778407197601,0.23142857142857143
Logistic Regression,0.005998000666444518,0.23142857142857143
Logistic Regression,0.005998000666444518,0.24857142857142858
Logistic Regression,0.006331222925691436,0.24857142857142858
Logistic Regression,0.006331222925691436,0.25142857142857145
Logistic Regression,0.006997667444185272,0.25142857142857145
Logistic Regression,0.006997667444185272,0.2542857142857143
Logistic Regression,0.008330556481172943,0.2542857142857143
Logistic Regression,0.008330556481172943,0.2571428571428571
Logistic Regression,0.00866377874041986,0.2571428571428571
Logistic Regression,0.00866377874041986,0.26
Logistic Regression,0.009996667777407531,0.26
Logistic Regression,0.009996667777407531,0.26857142857142857
Logistic Regression,0.012662445851382872,0.26857142857142857
Logistic Regression,0.012662445851382872,0.2714285714285714
Logistic Regression,0.01432855714761746,0.2714285714285714
Logistic Regression,0.01432855714761746,0.2742857142857143
Logistic Regression,0.01599466844385205,0.2742857142857143
Logistic Regression,0.01599466844385205,0.27714285714285714
Logistic Regression,0.017994001999333556,0.27714285714285714
Logistic Regression,0.017994001999333556,0.28
Logistic Regression,0.01866044651782739,0.28
Logistic Regression,0.01866044651782739,0.28285714285714286
Logistic Regression,0.020993002332555816,0.28285714285714286
Logistic Regression,0.020993002332555816,0.2885714285714286
Logistic Regression,0.021326224591802733,0.2885714285714286
Logistic Regression,0.021326224591802733,0.2914285714285714
Logistic Regression,0.022659113628790403,0.2914285714285714
Logistic Regression,0.022659113628790403,0.29428571428571426
Logistic Regression,0.02299233588803732,0.29428571428571426
Logistic Regression,0.02299233588803732,0.3028571428571429
Logistic Regression,0.025324891702765744,0.3028571428571429
Logistic Regression,0.025324891702765744,0.3057142857142857
Logistic Regression,0.02599133622125958,0.3057142857142857
Logistic Regression,0.02599133622125958,0.30857142857142855
Logistic Regression,0.02732422525824725,0.30857142857142855
Logistic Regression,0.02732422525824725,0.3142857142857143
Logistic Regression,0.027990669776741087,0.3142857142857143
